siteid,Name,month,year,years_fire,pre_post_fire,burned,closed_ever,tot_vis,closed_month,d2p
CRG_004,Horsetail Creek,1,2016,-2,pre,yes,yes,23,open,2016-01-15
CRG_004,Horsetail Creek,1,2017,-1,pre,yes,yes,35,open,2017-01-15
CRG_004,Horsetail Creek,1,2018,0,post,yes,yes,0,closed,2018-01-15
CRG_004,Horsetail Creek,1,2019,1,post,yes,yes,0,closed,2019-01-15
CRG_004,Horsetail Creek,2,2015,-3,pre,yes,yes,77,open,2015-02-15
CRG_004,Horsetail Creek,2,2016,-2,pre,yes,yes,69,open,2016-02-15
CRG_004,Horsetail Creek,2,2017,-1,pre,yes,yes,62,open,2017-02-15
CRG_004,Horsetail Creek,2,2018,0,post,yes,yes,0,closed,2018-02-15
CRG_004,Horsetail Creek,2,2019,1,post,yes,yes,0,closed,2019-02-15
CRG_004,Horsetail Creek,3,2015,-3,pre,yes,yes,78,open,2015-03-15
CRG_004,Horsetail Creek,3,2016,-2,pre,yes,yes,108,open,2016-03-15
CRG_004,Horsetail Creek,3,2017,-1,pre,yes,yes,111,open,2017-03-15
CRG_004,Horsetail Creek,3,2018,0,post,yes,yes,0,closed,2018-03-15
CRG_004,Horsetail Creek,3,2019,1,post,yes,yes,0,closed,2019-03-15
CRG_004,Horsetail Creek,4,2015,-3,pre,yes,yes,164,open,2015-04-15
CRG_004,Horsetail Creek,4,2016,-2,pre,yes,yes,180,open,2016-04-15
CRG_004,Horsetail Creek,4,2017,-1,pre,yes,yes,223,open,2017-04-15
CRG_004,Horsetail Creek,4,2018,0,post,yes,yes,0,closed,2018-04-15
CRG_004,Horsetail Creek,4,2019,1,post,yes,yes,0,closed,2019-04-15
CRG_004,Horsetail Creek,5,2015,-3,pre,yes,yes,126,open,2015-05-15
CRG_004,Horsetail Creek,5,2016,-2,pre,yes,yes,436,open,2016-05-15
CRG_004,Horsetail Creek,5,2017,-1,pre,yes,yes,346,open,2017-05-15
CRG_004,Horsetail Creek,5,2018,0,post,yes,yes,0,closed,2018-05-15
CRG_004,Horsetail Creek,5,2019,1,post,yes,yes,0,closed,2019-05-15
CRG_004,Horsetail Creek,6,2015,-3,pre,yes,yes,359,open,2015-06-15
CRG_004,Horsetail Creek,6,2016,-2,pre,yes,yes,368,open,2016-06-15
CRG_004,Horsetail Creek,6,2017,-1,pre,yes,yes,449,open,2017-06-15
CRG_004,Horsetail Creek,6,2018,0,post,yes,yes,0,closed,2018-06-15
CRG_004,Horsetail Creek,6,2019,1,post,yes,yes,0,closed,2019-06-15
CRG_004,Horsetail Creek,7,2015,-3,pre,yes,yes,375,open,2015-07-15
CRG_004,Horsetail Creek,7,2016,-2,pre,yes,yes,293,open,2016-07-15
CRG_004,Horsetail Creek,7,2017,-1,pre,yes,yes,262,open,2017-07-15
CRG_004,Horsetail Creek,7,2018,0,post,yes,yes,0,closed,2018-07-15
CRG_004,Horsetail Creek,7,2019,1,post,yes,yes,0,closed,2019-07-15
CRG_004,Horsetail Creek,8,2015,-3,pre,yes,yes,212,open,2015-08-15
CRG_004,Horsetail Creek,8,2016,-2,pre,yes,yes,301,open,2016-08-15
CRG_004,Horsetail Creek,8,2017,-1,pre,yes,yes,149,open,2017-08-15
CRG_004,Horsetail Creek,8,2018,0,post,yes,yes,0,closed,2018-08-15
CRG_004,Horsetail Creek,8,2019,1,post,yes,yes,0,closed,2019-08-15
CRG_004,Horsetail Creek,9,2014,-3,pre,yes,yes,95,open,2014-09-15
CRG_004,Horsetail Creek,9,2015,-2,pre,yes,yes,154,open,2015-09-15
CRG_004,Horsetail Creek,9,2016,-2,pre,yes,yes,73,open,2016-09-15
CRG_004,Horsetail Creek,9,2016,-1,pre,yes,yes,188,open,2016-09-15
CRG_004,Horsetail Creek,9,2017,0,post,yes,yes,0,closed,2017-09-15
CRG_004,Horsetail Creek,9,2018,1,post,yes,yes,0,closed,2018-09-15
CRG_004,Horsetail Creek,10,2014,-3,pre,yes,yes,65,open,2014-10-15
CRG_004,Horsetail Creek,10,2015,-2,pre,yes,yes,180,open,2015-10-15
CRG_004,Horsetail Creek,10,2016,-1,pre,yes,yes,69,open,2016-10-15
CRG_004,Horsetail Creek,10,2017,0,post,yes,yes,0,closed,2017-10-15
CRG_004,Horsetail Creek,10,2018,1,post,yes,yes,0,closed,2018-10-15
CRG_004,Horsetail Creek,11,2014,-3,pre,yes,yes,36,open,2014-11-15
CRG_004,Horsetail Creek,11,2015,-2,pre,yes,yes,67,open,2015-11-15
CRG_004,Horsetail Creek,11,2016,-1,pre,yes,yes,71,open,2016-11-15
CRG_004,Horsetail Creek,11,2017,0,post,yes,yes,0,closed,2017-11-15
CRG_004,Horsetail Creek,11,2018,1,post,yes,yes,0,closed,2018-11-15
CRG_004,Horsetail Creek,12,2014,-3,pre,yes,yes,19,open,2014-12-15
CRG_004,Horsetail Creek,12,2015,-2,pre,yes,yes,28,open,2015-12-15
CRG_004,Horsetail Creek,12,2016,-1,pre,yes,yes,42,open,2016-12-15
CRG_004,Horsetail Creek,12,2017,0,post,yes,yes,0,closed,2017-12-15
CRG_004,Horsetail Creek,12,2018,1,post,yes,yes,0,closed,2018-12-15
CRG_005,"Nesmith Point, McCord, Elowa Falls",1,2015,-3,pre,yes,yes,274,open,2015-01-15
CRG_005,"Nesmith Point, McCord, Elowa Falls",1,2016,-2,pre,yes,yes,280,open,2016-01-15
CRG_005,"Nesmith Point, McCord, Elowa Falls",1,2017,-1,pre,yes,yes,421,open,2017-01-15
CRG_005,"Nesmith Point, McCord, Elowa Falls",1,2018,0,post,yes,yes,0,closed,2018-01-15
CRG_005,"Nesmith Point, McCord, Elowa Falls",1,2019,1,post,yes,yes,0,closed,2019-01-15
CRG_005,"Nesmith Point, McCord, Elowa Falls",2,2015,-3,pre,yes,yes,437,open,2015-02-15
CRG_005,"Nesmith Point, McCord, Elowa Falls",2,2016,-2,pre,yes,yes,486,open,2016-02-15
CRG_005,"Nesmith Point, McCord, Elowa Falls",2,2017,-1,pre,yes,yes,445,open,2017-02-15
CRG_005,"Nesmith Point, McCord, Elowa Falls",2,2018,0,post,yes,yes,0,closed,2018-02-15
CRG_005,"Nesmith Point, McCord, Elowa Falls",2,2019,1,post,yes,yes,0,closed,2019-02-15
CRG_005,"Nesmith Point, McCord, Elowa Falls",3,2015,-3,pre,yes,yes,615,open,2015-03-15
CRG_005,"Nesmith Point, McCord, Elowa Falls",3,2016,-2,pre,yes,yes,1342,open,2016-03-15
CRG_005,"Nesmith Point, McCord, Elowa Falls",3,2017,-1,pre,yes,yes,1179,open,2017-03-15
CRG_005,"Nesmith Point, McCord, Elowa Falls",3,2018,0,post,yes,yes,0,closed,2018-03-15
CRG_005,"Nesmith Point, McCord, Elowa Falls",3,2019,1,post,yes,yes,0,closed,2019-03-15
CRG_005,"Nesmith Point, McCord, Elowa Falls",4,2015,-3,pre,yes,yes,1010,open,2015-04-15
CRG_005,"Nesmith Point, McCord, Elowa Falls",4,2016,-2,pre,yes,yes,2242,open,2016-04-15
CRG_005,"Nesmith Point, McCord, Elowa Falls",4,2017,-1,pre,yes,yes,1263,open,2017-04-15
CRG_005,"Nesmith Point, McCord, Elowa Falls",4,2018,0,post,yes,yes,0,closed,2018-04-15
CRG_005,"Nesmith Point, McCord, Elowa Falls",4,2019,1,post,yes,yes,0,closed,2019-04-15
CRG_005,"Nesmith Point, McCord, Elowa Falls",5,2015,-3,pre,yes,yes,1220,open,2015-05-15
CRG_005,"Nesmith Point, McCord, Elowa Falls",5,2016,-2,pre,yes,yes,3709,open,2016-05-15
CRG_005,"Nesmith Point, McCord, Elowa Falls",5,2017,-1,pre,yes,yes,3001,open,2017-05-15
CRG_005,"Nesmith Point, McCord, Elowa Falls",5,2018,0,post,yes,yes,0,closed,2018-05-15
CRG_005,"Nesmith Point, McCord, Elowa Falls",5,2019,1,post,yes,yes,0,closed,2019-05-15
CRG_005,"Nesmith Point, McCord, Elowa Falls",6,2015,-3,pre,yes,yes,1122,open,2015-06-15
CRG_005,"Nesmith Point, McCord, Elowa Falls",6,2016,-2,pre,yes,yes,3932,open,2016-06-15
CRG_005,"Nesmith Point, McCord, Elowa Falls",6,2017,-1,pre,yes,yes,5002,open,2017-06-15
CRG_005,"Nesmith Point, McCord, Elowa Falls",6,2018,0,post,yes,yes,0,closed,2018-06-15
CRG_005,"Nesmith Point, McCord, Elowa Falls",6,2019,1,post,yes,yes,0,closed,2019-06-15
CRG_005,"Nesmith Point, McCord, Elowa Falls",7,2015,-3,pre,yes,yes,1482,open,2015-07-15
CRG_005,"Nesmith Point, McCord, Elowa Falls",7,2016,-2,pre,yes,yes,3865,open,2016-07-15
CRG_005,"Nesmith Point, McCord, Elowa Falls",7,2017,-1,pre,yes,yes,4271,open,2017-07-15
CRG_005,"Nesmith Point, McCord, Elowa Falls",7,2018,0,post,yes,yes,0,closed,2018-07-15
CRG_005,"Nesmith Point, McCord, Elowa Falls",7,2019,1,post,yes,yes,0,closed,2019-07-15
CRG_005,"Nesmith Point, McCord, Elowa Falls",8,2015,-3,pre,yes,yes,1157,open,2015-08-15
CRG_005,"Nesmith Point, McCord, Elowa Falls",8,2016,-2,pre,yes,yes,2887,open,2016-08-15
